f0,f1,f2,f3,f4,target
0.4805532799788507,0.4816070971660851,0.49646242236332827,0.5035495130990789,0.5022275968854883,1
0.08016403782104017,0.1996269742427911,0.3092435327914644,0.41653053378770966,0.505786034079459,0
0.9040101262356625,0.8033440127075584,0.6916587464902215,0.5996487838100614,0.5109639728084355,1
0.19898037914660358,0.19001335759270047,0.2174266465697551,0.21885374980565814,0.2078101311778503,0
0.7931016532063656,0.80328107428913,0.8120335461704481,0.8004407476528339,0.7925645965949653,1
0.41550633622175825,0.2907806102039316,0.20194272874949964,0.0916970675609667,-0.009058505745838634,0
0.6099685832423806,0.6988041348731452,0.8055160761941895,0.9118676816124784,0.9820869544311429,1
0.4779033451437553,0.41128235986351225,0.2939682453134723,0.21493341352956064,0.09883439655789199,0
0.30457738782016613,0.2893660089621649,0.29939415036675565,0.3085494169511988,0.29650223011383064,0
0.7065116682799499,0.706012046045714,0.6955269088570694,0.7029582351602512,0.6965337002302628,1
